title,link,views,date_time,image_link
Learn Merge Sort in 2 minutes | Episode - 10 | @SandeepJainGfG | Geeksforgeeks,https://www.youtube.com/watch?v=EN8VDyLzs2s,739 views,1 month ago,https://i.ytimg.com/vi/EN8VDyLzs2s/hqdefault.jpg
Learn INSERTION SORT in 10 minutes | @SandeepJainGfG | Episode- 9 | GeeksforGeeks,https://www.youtube.com/watch?v=bJ_Q23Wlj_Q,613 views,1 month ago,https://i.ytimg.com/vi/bJ_Q23Wlj_Q/hqdefault.jpg
Become Zero to Hero in Digital Marketing😮 | Learn the Why's and How's of Digital Marketing | GFG,https://www.youtube.com/watch?v=073j2jj7jbg,798 views,1 month ago,https://i.ytimg.com/vi/073j2jj7jbg/hqdefault.jpg
Learn Selection Sort Algorithm | @SandeepJainGfG | Episode - 8 |  GeeksforGeeks,https://www.youtube.com/watch?v=WYVKZ4Mla5c,1K views,1 month ago,https://i.ytimg.com/vi/WYVKZ4Mla5c/hqdefault.jpg
Learn Bubble Sort in 12 minutes | @SandeepJainGfG | Lecture 7 | GeeksforGeeks,https://www.youtube.com/watch?v=dMonTS71mEY,1K views,1 month ago,https://i.ytimg.com/vi/dMonTS71mEY/hqdefault.jpg
Lecture-6 Learn Stability in SORTING - Beginners to Advance | GeeksforGeeks,https://www.youtube.com/watch?v=voH3da1RvbA,651 views,1 month ago,https://i.ytimg.com/vi/voH3da1RvbA/hqdefault.jpg
GeeksforGeeks Classroom Program | Delhi/NCR | Pune | Bengaluru | Offline Coding Classes Near You!,https://www.youtube.com/watch?v=-R64PWJPf2k,46K views,1 month ago,https://i.ytimg.com/vi/-R64PWJPf2k/hqdefault.jpg
Lecture-5 Mastering Sorting Algorithms with Java: From Collections.sort to Custom Comparators,https://www.youtube.com/watch?v=VSy4TN2jyzE,1K views,1 month ago,https://i.ytimg.com/vi/VSy4TN2jyzE/hqdefault.jpg
Lecture-4  Arrays.sort() in Java Explained |  Primitive vs. Non-Primitive | GeeksforGeeks,https://www.youtube.com/watch?v=6mwz4JQ6Z50,975 views,2 months ago,https://i.ytimg.com/vi/6mwz4JQ6Z50/hqdefault.jpg
"Lecture-3 Java Sorting Explained: Arrays vs. Collections, Stability, and Algorithms | GeeksforGeeks",https://www.youtube.com/watch?v=mUX5IfNwhjg,1.2K views,2 months ago,https://i.ytimg.com/vi/mUX5IfNwhjg/hqdefault.jpg
Lecture- 2 Mastering Sorting in C++: STL 'sort' Function Explained | GeeksforGeeks,https://www.youtube.com/watch?v=tmESfVUaTog,1.2K views,2 months ago,https://i.ytimg.com/vi/tmESfVUaTog/hqdefault.jpg
7 Game-Changing Productivity Tools You Need to Try! 🚀 | Maximize Your Efficiency | GFG,https://www.youtube.com/watch?v=gH-7ezHeuEo,1.5K views,2 months ago,https://i.ytimg.com/vi/gH-7ezHeuEo/hqdefault.jpg
Lecture -1 Introduction to Sorting Algorithms - Overview & Special Cases| GeeksforGeeks,https://www.youtube.com/watch?v=cqBW7BgN7Zs,5.4K views,2 months ago,https://i.ytimg.com/vi/cqBW7BgN7Zs/hqdefault.jpg
Get 40LPA+ Jobs - Top MERN Stack Interview Questions 2024 🧑‍💻| MongoDB |ReactJS | ExpressJS |NodeJS,https://www.youtube.com/watch?v=EhjCmg7qiTk,1.2K views,2 months ago,https://i.ytimg.com/vi/EhjCmg7qiTk/hqdefault.jpg
All about Product Management Roles 🧑‍💻  | Skills and Resources Explained |#noncodingjobs #prodman,https://www.youtube.com/watch?v=Jk2g9Drr1rI,1.2K views,2 months ago,https://i.ytimg.com/vi/Jk2g9Drr1rI/hqdefault.jpg
How to Create a Job-Winning Resume: A Complete Guide 🫨 | Resume Making | Career Tips | GFG,https://www.youtube.com/watch?v=ZEGi4IXY2ho,1.5K views,2 months ago,https://i.ytimg.com/vi/ZEGi4IXY2ho/hqdefault.jpg
"Upto 40 LPA Jobs from Personal Branding 💸 | Linkedin, Youtube, Twitter, Freelancing 🚀 | GFG",https://www.youtube.com/watch?v=W15T5GRf238,1.5K views,2 months ago,https://i.ytimg.com/vi/W15T5GRf238/hqdefault.jpg
9 High Paying Jobs AI Can't Replace 💸💡 High Demand Jobs 2024 | Geeks for Geeks,https://www.youtube.com/watch?v=mPNpCXHjdkw,1.6K views,2 months ago,https://i.ytimg.com/vi/mPNpCXHjdkw/hqdefault.jpg
"Upto 20 LPA Jobs For Freshers With These Top 7 Skills | Salary, Scope, Roles & Responsibility etc.",https://www.youtube.com/watch?v=Q6QXk-rrW0M,1.4K views,3 months ago,https://i.ytimg.com/vi/Q6QXk-rrW0M/hqdefault.jpg
10-12 LPA JOBS for Freshers | Applications Closing Soon! Tech + Non Tech Roles | Job Vacancy 2024,https://www.youtube.com/watch?v=G_LoL_bBcQE,3.1K views,3 months ago,https://i.ytimg.com/vi/G_LoL_bBcQE/hqdefault.jpg
BUILD YOUR OWN UI/UX WEBSITE USING React.js | MERN Projects | GeeksforGeeks,https://www.youtube.com/watch?v=uZ9JiGzq3mM,2.4K views,3 months ago,https://i.ytimg.com/vi/uZ9JiGzq3mM/hqdefault.jpg
"Get DREAM JOB with these NETWORKING TIPS! 💸💡LinkedIn, Referrals, Cold Messaging, Networking Events",https://www.youtube.com/watch?v=zPqMnLhkfp4,1.3K views,3 months ago,https://i.ytimg.com/vi/zPqMnLhkfp4/hqdefault.jpg
RECURSION PRACTICE PROBLEM | Recursive Algorithm | DSA Course | GeeksforGeeks,https://www.youtube.com/watch?v=Hpf6mr-7_5k,837 views,3 months ago,https://i.ytimg.com/vi/Hpf6mr-7_5k/hqdefault.jpg
"Best Startup Ideas in College 2024 💸🚀| Earn Better than Placement? 🤑 | Guide, Ideas, Funding etc",https://www.youtube.com/watch?v=G_gowXgOFRA,1.5K views,3 months ago,https://i.ytimg.com/vi/G_gowXgOFRA/hqdefault.jpg
Get 20LPA+ Jobs with these 5 Unique Project Ideas💡| Projects for Internships and Placements,https://www.youtube.com/watch?v=5mw5IzWTFs0,2.8K views,3 months ago,https://i.ytimg.com/vi/5mw5IzWTFs0/hqdefault.jpg
"Hate Coding? Upto 44 LPA Non Tech Jobs in 2024 💸 | Skills, Role and Salary Expected.",https://www.youtube.com/watch?v=DMhSsL3-SLk,1.7K views,3 months ago,https://i.ytimg.com/vi/DMhSsL3-SLk/hqdefault.jpg
Asking Coding Questions to Students Worth 20k Prices 🥳🤑| Kaun Banega Codepati ? 💸,https://www.youtube.com/watch?v=a5C5lCGTIrs,1.2K views,3 months ago,https://i.ytimg.com/vi/a5C5lCGTIrs/hqdefault.jpg
"Data Analyst vs Data Scientist vs Data Engineer | Differences, Skills, Salary & Responsibilities 💸",https://www.youtube.com/watch?v=EHmXVwjtgPs,7.4K views,3 months ago,https://i.ytimg.com/vi/EHmXVwjtgPs/hqdefault.jpg
Top 8 Remote Jobs Websites For Freshers 🚀 |  Earn in Dollars | How to Get Remote Jobs in 2024?,https://www.youtube.com/watch?v=OIsIZ1w7aTU,2.8K views,3 months ago,https://i.ytimg.com/vi/OIsIZ1w7aTU/hqdefault.jpg
5 GENUINE Ways to EARN 40K+ as Student 💸🚀 | Pay Your College Fees | Earn Online ✅,https://www.youtube.com/watch?v=WEm6-g3dCBc,2K views,3 months ago,https://i.ytimg.com/vi/WEm6-g3dCBc/hqdefault.jpg
Image Classification using CNN | Machine Learning Projects | GeeksforGeeks,https://www.youtube.com/watch?v=qm56XcRBXWc,3.3K views,3 months ago,https://i.ytimg.com/vi/qm56XcRBXWc/hqdefault.jpg
Does CGPA Matters in Placement? | Low CGPA? Tier 3? Eligibility? | IT Jobs & Companies for Low CGPA,https://www.youtube.com/watch?v=mrap_vC0ZqU,2.6K views,3 months ago,https://i.ytimg.com/vi/mrap_vC0ZqU/hqdefault.jpg
15 LPA+ Fresher JOBS in Java 🚀 | BEST ROADMAP from Scratch | Geeks For Geeks,https://www.youtube.com/watch?v=BWc2DeBaYuQ,4.9K views,3 months ago,https://i.ytimg.com/vi/BWc2DeBaYuQ/hqdefault.jpg
Top 10 Highest Paying Tech Jobs in India 2024 💸🚀 | Geeks For Geeks,https://www.youtube.com/watch?v=tGSmvrS_TJk,1.8K views,3 months ago,https://i.ytimg.com/vi/tGSmvrS_TJk/hqdefault.jpg
Build an Ecommerce Website Like ZARA using React.js | MERN Projects | GeeksforGeeks,https://www.youtube.com/watch?v=jk2rhtBJ5S4,9.9K views,3 months ago,https://i.ytimg.com/vi/jk2rhtBJ5S4/hqdefault.jpg
How to Start Coding in 2024? 🚀 | Programming Language for Beginners | Geeks for Geeks,https://www.youtube.com/watch?v=dAzVSu5zavU,3.2K views,3 months ago,https://i.ytimg.com/vi/dAzVSu5zavU/hqdefault.jpg
3 Reasons Students QUIT Coding | How to Code Consistently ? | GeeksforGeeks,https://www.youtube.com/watch?v=oM0HOxae8_A,1.8K views,4 months ago,https://i.ytimg.com/vi/oM0HOxae8_A/hqdefault.jpg
Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs & Recession,https://www.youtube.com/watch?v=GD8xHjxnyK8,2.7K views,4 months ago,https://i.ytimg.com/vi/GD8xHjxnyK8/hqdefault.jpg
Build a Food Delivery Website using React.js | MERN Stack Projects | GeeksforGeeks,https://www.youtube.com/watch?v=bd5DewlahnE,18K views,4 months ago,https://i.ytimg.com/vi/bd5DewlahnE/hqdefault.jpg
5 Ways to Prepare for Layoffs in 2024! | AI Tools | Upskilling | Side Hustles,https://www.youtube.com/watch?v=XbG-Z0gxrjs,1.6K views,4 months ago,https://i.ytimg.com/vi/XbG-Z0gxrjs/hqdefault.jpg
"Get Hired From Linkedin in 2024 | Best Linkedin Profile Creation | Skills, Experiences & Networking🚀",https://www.youtube.com/watch?v=2QbhA2mthy0,2.9K views,4 months ago,https://i.ytimg.com/vi/2QbhA2mthy0/hqdefault.jpg
High-Paying Tech Jobs Using AI | AI Tools for Coders | Geeks for Geeks,https://www.youtube.com/watch?v=PekLwtZVi3k,2.1K views,4 months ago,https://i.ytimg.com/vi/PekLwtZVi3k/hqdefault.jpg
Web Dev vs App Dev in 2024? Which has more Salary ?🤔 | Career Scope & Skills | Geeks for Geeks,https://www.youtube.com/watch?v=hRTRjWm-2pQ,1.9K views,4 months ago,https://i.ytimg.com/vi/hRTRjWm-2pQ/hqdefault.jpg
Build a Fitness Tracker Website using React JS |MERN Projects |GeeksforGeeks,https://www.youtube.com/watch?v=HISjHTE2vnM,22K views,4 months ago,https://i.ytimg.com/vi/HISjHTE2vnM/hqdefault.jpg
Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks,https://www.youtube.com/watch?v=BS-y9ieR-mQ,35K views,4 months ago,https://i.ytimg.com/vi/BS-y9ieR-mQ/hqdefault.jpg
GATE AIR 21 Shares her secret to become a GATE Topper | GATE Topper Interview | GeeksforGeeks,https://www.youtube.com/watch?v=M5tEUGFpCg0,1.4K views,4 months ago,https://i.ytimg.com/vi/M5tEUGFpCg0/hqdefault.jpg
5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks,https://www.youtube.com/watch?v=OrNjShjUdow,1.7K views,4 months ago,https://i.ytimg.com/vi/OrNjShjUdow/hqdefault.jpg
Tips to ace your tech job search | Resume tips by expert from @indeedindiaofficial   | GeeksforGeeks,https://www.youtube.com/watch?v=mh7En1ir_XM,979 views,4 months ago,https://i.ytimg.com/vi/mh7En1ir_XM/hqdefault.jpg
Three 90 Challenge Back with Benefits | GeeksforGeeks,https://www.youtube.com/watch?v=-d-ZuuF8czQ,57K views,4 months ago,https://i.ytimg.com/vi/-d-ZuuF8czQ/hqdefault.jpg
7 JAVASCRIPT Concepts Every DEVELOPER Must Know! | GeeksforGeeks,https://www.youtube.com/watch?v=YxRErpzCa7c,948 views,4 months ago,https://i.ytimg.com/vi/YxRErpzCa7c/hqdefault.jpg
MOVIE RECOMMENDATION SYSTEM Using Machine Learning | Machine Leaning Projects | GeeksforGeeks,https://www.youtube.com/watch?v=kxT8AursXXw,4.8K views,4 months ago,https://i.ytimg.com/vi/kxT8AursXXw/hqdefault.jpg
MASTERING RECURSION | Recursive Algorithm | DSA Course | GeeksforGeeks,https://www.youtube.com/watch?v=zwGcJ62lZ5g,1.2K views,4 months ago,https://i.ytimg.com/vi/zwGcJ62lZ5g/hqdefault.jpg
Is Software Engineering Dead ? - Meet Devin by Cognition Labs | GeeksforGeeks,https://www.youtube.com/watch?v=i8w_2n1GH44,1.6K views,5 months ago,https://i.ytimg.com/vi/i8w_2n1GH44/hqdefault.jpg
7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,https://www.youtube.com/watch?v=mpIDwAT7m_0,1.6K views,5 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,https://www.youtube.com/watch?v=udtb67DKyq0,27K views,5 months ago,https://i.ytimg.com/vi/udtb67DKyq0/hqdefault.jpg
FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,https://www.youtube.com/watch?v=CkiXRQvz4Z4,13K views,5 months ago,https://i.ytimg.com/vi/CkiXRQvz4Z4/hqdefault.jpg
HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,https://www.youtube.com/watch?v=F_9gGyCs3YY,2.9K views,5 months ago,https://i.ytimg.com/vi/F_9gGyCs3YY/hqdefault.jpg
WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,https://www.youtube.com/watch?v=AmU9Zi6TNrs,1.6K views,5 months ago,https://i.ytimg.com/vi/AmU9Zi6TNrs/hqdefault.jpg
Doctor Aaye #successsepareshan Rohan ko Dekhne...,https://www.youtube.com/watch?v=zbBALFXGy4Y,395K views,5 months ago,https://i.ytimg.com/vi/zbBALFXGy4Y/hqdefault.jpg
ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,https://www.youtube.com/watch?v=GF69ZVc1icg,1.2K views,5 months ago,https://i.ytimg.com/vi/GF69ZVc1icg/hqdefault.jpg
React JS Made Easy with ChatGPT | GeeksforGeeks,https://www.youtube.com/watch?v=MSmDIkWEtoc,1.7K views,5 months ago,https://i.ytimg.com/vi/MSmDIkWEtoc/hqdefault.jpg
TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,https://www.youtube.com/watch?v=0lLmU-VqXzk,2.3K views,5 months ago,https://i.ytimg.com/vi/0lLmU-VqXzk/hqdefault.jpg
GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,https://www.youtube.com/watch?v=9fTvjjI67Rk,1K views,5 months ago,https://i.ytimg.com/vi/9fTvjjI67Rk/hqdefault.jpg
GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,https://www.youtube.com/watch?v=iFGoMXC4Cxo,1.1K views,5 months ago,https://i.ytimg.com/vi/iFGoMXC4Cxo/hqdefault.jpg
Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,https://www.youtube.com/watch?v=v41P3Y5Xol8,275K views,5 months ago,https://i.ytimg.com/vi/v41P3Y5Xol8/hqdefault.jpg
TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,https://www.youtube.com/watch?v=AylOfzYJ2qE,5.8K views,6 months ago,https://i.ytimg.com/vi/AylOfzYJ2qE/hqdefault.jpg
Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,https://www.youtube.com/watch?v=FVCERWiQSDY,33K views,6 months ago,https://i.ytimg.com/vi/FVCERWiQSDY/hqdefault.jpg
TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,https://www.youtube.com/watch?v=BFf8n2RrKtM,1K views,6 months ago,https://i.ytimg.com/vi/BFf8n2RrKtM/hqdefault.jpg
Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,https://www.youtube.com/watch?v=L66_EOxzLKI,1K views,6 months ago,https://i.ytimg.com/vi/L66_EOxzLKI/hqdefault.jpg
Build your own AI image Generation App using MERN | MERN Stack Project | GeeksforGeeks,https://www.youtube.com/watch?v=stcihX2eavw,32K views,6 months ago,https://i.ytimg.com/vi/stcihX2eavw/hqdefault.jpg
Strategies To Find A Job FAST! | Job Hunt Tips | How People Get Good Jobs | GeeksforGeeks,https://www.youtube.com/watch?v=rFXVb2-Rj5k,890 views,6 months ago,https://i.ytimg.com/vi/rFXVb2-Rj5k/hqdefault.jpg
Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,https://www.youtube.com/watch?v=NjUteXHoOXk,16K views,6 months ago,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,https://www.youtube.com/watch?v=FAluaVzy4VM,846 views,6 months ago,https://i.ytimg.com/vi/FAluaVzy4VM/hqdefault.jpg
GeeksforGeeks Bloopers!! The Making of Quality Content,https://www.youtube.com/watch?v=zakV-wfdPYM,811 views,6 months ago,https://i.ytimg.com/vi/zakV-wfdPYM/hqdefault.jpg
APTITUDE & REASONING | GATE 2024 Ultimate Revision | PYQ and Sample Questions GATE,https://www.youtube.com/watch?v=CaAjf_RE9ew,1.6K views,6 months ago,https://i.ytimg.com/vi/CaAjf_RE9ew/hqdefault.jpg
Meet The Youngest CTO Of India- Shivansh Saxena | GeeksforGeeks,https://www.youtube.com/watch?v=5YlR3yZV9bE,3.7K views,6 months ago,https://i.ytimg.com/vi/5YlR3yZV9bE/hqdefault.jpg
Top 3 Things College Students FEAR!!,https://www.youtube.com/watch?v=mOkFtGLA9q8,115K views,6 months ago,https://i.ytimg.com/vi/mOkFtGLA9q8/hqdefault.jpg
DATA SCIENCE PROJECTS Made Easy with COLAB AI | Generative AI | GeeksforGeeks,https://www.youtube.com/watch?v=Gt5ZkoFrgyE,2.4K views,6 months ago,https://i.ytimg.com/vi/Gt5ZkoFrgyE/hqdefault.jpg
Top VS Code Extensions for Web Developer in 2024!! GeeksforGeeks,https://www.youtube.com/watch?v=l-LJucxS8Mc,2.2K views,6 months ago,https://i.ytimg.com/vi/l-LJucxS8Mc/hqdefault.jpg
LINKED LIST PRACTICE QUESTIONS | Operations on Linked List | DSA Problems | GeeksforGeeks,https://www.youtube.com/watch?v=TnV34Lfdk7k,3.2K views,7 months ago,https://i.ytimg.com/vi/TnV34Lfdk7k/hqdefault.jpg
Three 90 Challenge - Q&A with Sandeep Jain Sir | GeeksforGeeks #commitwithgfg,https://www.youtube.com/watch?v=KyUbJ4aoIgQ,5.6K views,7 months ago,https://i.ytimg.com/vi/KyUbJ4aoIgQ/hqdefault.jpg
"Secrets to CONSISTENCY, COMMITMENT, and CAREER SUCCESS! #commitwithgfg",https://www.youtube.com/watch?v=6jhkJoOnMCc,2.4K views,7 months ago,https://i.ytimg.com/vi/6jhkJoOnMCc/hqdefault.jpg
2024 Will be the YEAR for CODERS!! #commitwithgfg,https://www.youtube.com/watch?v=Nozck3wIMCo,1.4K views,7 months ago,https://i.ytimg.com/vi/Nozck3wIMCo/hqdefault.jpg
WHAT IS LINKED LIST? | Linked List Data Structures | DSA Course | GeeksforGeeks,https://www.youtube.com/watch?v=MCG7S2fGUeU,6.2K views,7 months ago,https://i.ytimg.com/vi/MCG7S2fGUeU/hqdefault.jpg
